ID_,lat_x,long_y,Familia_,Ordem_
1,"-22,427,283","-44,618,267",Perlidae,Plecoptera
2,"-22,328,056","-44,600,333",Perlidae,Plecoptera
3,"-22,330,472","-44,615,417",Perlidae,Plecoptera
4,"-22,447,472","-43,005,389",Perlidae,Plecoptera
5,"-22,448,278","-43,007,611",Perlidae,Plecoptera
6,"-22,464,111","-43,089,167",Perlidae,Plecoptera
7,"-22,465,056","-43,087,778",Perlidae,Plecoptera
8,"-22,465,389","-43,087,472",Perlidae,Plecoptera
9,"-22,465,389","-43,087,472",Perlidae,Plecoptera
10,"-22,470,056","-43,074,528",Perlidae,Plecoptera
11,"-22,468,083","-43,080,028",Perlidae,Plecoptera
12,"-22,468,083","-43,080,028",Perlidae,Plecoptera
13,"-22,464,606","-430,875.00",Perlidae,Plecoptera
14,"-22,926,192","-44,623,556",Perlidae,Plecoptera
15,"-22,948,889","-43,285,833",Perlidae,Plecoptera
16,"-22,437,794","-44,605,325",Perlidae,Plecoptera
17,"-22,449,997","-43,016,664",Perlidae,Plecoptera
18,"-22,956,667","-43,278,056",Gripopterygidae,Plecoptera
19,"-23,353,606","-44,654,442",Gripopterygidae,Plecoptera
20,"-233,425","-44,605,556",Gripopterygidae,Plecoptera
21,"-23,345,278","-44,722,222",Gripopterygidae,Plecoptera
22,"-23,351,389","-44,727,222",Gripopterygidae,Plecoptera
23,"-22,427,286","-44,618,267",Gripopterygidae,Plecoptera
24,"-22,437,797","-44,605,325",Gripopterygidae,Plecoptera
25,"-22,449,997","-43,016,664",Gripopterygidae,Plecoptera
26,"-22,427,283","-44,618,267",Gripopterygidae,Plecoptera
27,"-22,437,794","-44,605,325",Gripopterygidae,Plecoptera
28,"-23,182,833","-44,201,306",Gripopterygidae,Plecoptera
29,"-22,449,997","-43,016,664",Gripopterygidae,Plecoptera
30,"-22,427,286","-44,618,267",Gripopterygidae,Plecoptera
31,"-22,437,797","-44,605,325",Gripopterygidae,Plecoptera
32,"-22,448,278","-43,007,611",Perlidae,Plecoptera
33,"-22,448,278","-43,007,611",Perlidae,Plecoptera
34,"-22,448,417","-43,013,528",Perlidae,Plecoptera
35,"-22,465,167","-43,087,667",Perlidae,Plecoptera
36,"-22,465,389","-43,087,472",Perlidae,Plecoptera
37,"-22,465,708","-43,086,194",Perlidae,Plecoptera
38,"-22,468,083","-43,080,028",Perlidae,Plecoptera
39,"-22,464,606","-430,875",Perlidae,Plecoptera
40,"-22,449,997","-43,016,664",Perlidae,Plecoptera
41,"-22,465,167","-43,087,667",Perlidae,Plecoptera
42,"-22,948,889","-43,285,833",Perlidae,Plecoptera
43,"-22,427,283","-44,618,267",Perlidae,Plecoptera
44,"-22,437,794","-44,605,325",Perlidae,Plecoptera
45,"-22,465,389","-43,087,472",Perlidae,Plecoptera
46,"-22,465,708","-43,086,194",Perlidae,Plecoptera
47,"-22,465,056","-43,087,778",Perlidae,Plecoptera
48,"-22,465,056","-43,087,778",Perlidae,Plecoptera
49,"-22,465,389","-43,087,472",Perlidae,Plecoptera
50,"-22,465,389","-43,087,472",Perlidae,Plecoptera
51,"-22,956,667","-43,278,056",Perlidae,Plecoptera
52,-23.35,"-44,733,331",Perlidae,Plecoptera
53,"-23,353,606","-44,654,442",Perlidae,Plecoptera
54,"-23,338,056","-44,622,778",Perlidae,Plecoptera
55,"-23,327,222","-44,644,444",Perlidae,Plecoptera
56,"-23,328,889","-44,681,944",Perlidae,Plecoptera
57,"-233,425","-44,605,556",Perlidae,Plecoptera
58,"-23,345,833","-44,606,667",Perlidae,Plecoptera
59,"-23,324,167","-44,628,611",Perlidae,Plecoptera
60,"-22,454,861","-42,999",Perlidae,Plecoptera
61,"-23,345,278","-44,722,222",Perlidae,Plecoptera
62,"-23,351,389","-44,727,222",Perlidae,Plecoptera
63,"-22,427,283","-44,618,267",Gripopterygidae,Plecoptera
64,"-22,437,794","-44,605,325",Gripopterygidae,Plecoptera
65,"-22,240,317","-415,598",Dytiscidae,Coleoptera
66,"-23,331,389","-44,663,611",Dytiscidae,Coleoptera
67,"-22,948,889","-43,285,833",Dytiscidae,Coleoptera
68,"-22,427,286","-44,618,267",Dytiscidae,Coleoptera
69,"-22,437,797","-44,605,325",Dytiscidae,Coleoptera
70,"-23,328,889","-44,681,944",Hydraenidae,Coleoptera
71,"-22,512,383","-43,198,803",Hydrophilidae,Coleoptera
72,"-22,426,556","-42,040,611",Hydrophilidae,Coleoptera
73,"-22,240,317","-415,598",Hydrophilidae,Coleoptera
74,"-22,412,806","-42,520,722",Hydrophilidae,Coleoptera
75,"-22,427,286","-44,618,267",Hydrophilidae,Coleoptera
76,"-22,427,283","-44,618,267",Hydrophilidae,Coleoptera
77,"-22,437,797","-44,605,325",Hydrophilidae,Coleoptera
78,"-22,437,794","-44,605,325",Hydrophilidae,Coleoptera
79,"-22,959,056","-43,275,692",Hydroscaphidae,Coleoptera
80,"-22,956,667","-43,278,056",Noteridae,Coleoptera
81,"-22,926,192","-44,623,556",Hydrophilidae,Coleoptera
82,"-22,926,192","-44,623,556",Elmidae,Coleoptera
83,"-23,353,606","-44,654,442",Psephenidae,Coleoptera
84,"-23,324,167","-44,628,611",Psephenidae,Coleoptera
85,"-23,331,389","-44,663,611",Psephenidae,Coleoptera
86,"-23,351,389","-44,727,222",Psephenidae,Coleoptera
87,"-22,427,286","-44,618,267",Psephenidae,Coleoptera
88,"-22,437,797","-44,605,325",Psephenidae,Coleoptera
89,"-22,201,389","-414,925",Scirtidae,Coleoptera
90,"-22,948,889","-43,285,833",Scirtidae,Coleoptera
91,"-22,240,317",-41.55.598,Scirtidae,Coleoptera
92,"-22,449,997","-44,618,267",Scirtidae,Coleoptera
93,"-22,427,283","-44,618,267",Scirtidae,Coleoptera
94,"-22,437,794","-44,605,325",Scirtidae,Coleoptera
95,"-23,024,019",-43.47.075,Alligatoridae,Reptil
96,"-23,024,019",-43.47.076,Alligatoridae,Reptil
97,-22.65.083,-42.39.167,Alligatoridae,Reptil
98,-22.9,-43.23.333,Alligatoridae,Reptil
99,"-23,024,019","-43,347,075",Alligatoridae,Reptil
100,"-23,024,019","-43,347,075",Alligatoridae,Reptil
101,"-23,024,019","-43,347,075",Alligatoridae,Reptil
102,"-23,018,414","-43,445,164",Alligatoridae,Reptil
103,"-23,016,153","-43,426,208",Alligatoridae,Reptil
104,"-23,024,019","-43,347,075",Alligatoridae,Reptil
105,"-23,024,019","-43,347,075",Alligatoridae,Reptil
106,"-23,016,153","-43,426,208",Alligatoridae,Reptil
107,"-23,024,019","-43,347,075",Alligatoridae,Reptil
108,-22.78.556,"-4,331,167",Alligatoridae,Reptil
109,"-23,018,414","-43,445,164",Alligatoridae,Reptil
110,"-22,538,006","-42,943,153",Alligatoridae,Reptil
111,-22.9,"-4,323,333",Alligatoridae,Reptil
112,"-23,024,019","-4,347,075",Alligatoridae,Reptil
113,"-23,018,414","-43,445,164",Alligatoridae,Reptil
114,"-22,538,006","-42,943,153",Alligatoridae,Reptil
115,"-23,024,019","-4,347,075",Alligatoridae,Reptil
116,"-23,016,153","-43,426,208",Alligatoridae,Reptil
117,-22.90.278,"-432,075",Alligatoridae,Reptil
118,"-22,995","-43,371,389",Alligatoridae,Reptil
119,"-23,024,019","-4,347,075",Alligatoridae,Reptil
120,"-23,024,019","-4,347,075",Alligatoridae,Reptil
121,"-2,274,444","-4,285,944",Alligatoridae,Reptil
122,"-23,018,414","-43,445,164",Alligatoridae,Reptil
123,"-22,995","-43,371,389",Alligatoridae,Reptil
124,"-23,024,019","-4,347,075",Alligatoridae,Reptil
125,"-23,024,019","-4,347,075",Alligatoridae,Reptil
126,"-23,024,019","-4,347,075",Alligatoridae,Reptil
127,"-23,018,414","-43,445,164",Alligatoridae,Reptil
128,"-22,995","-43,371,389",Alligatoridae,Reptil
129,"-23,024,019","-4,347,075",Alligatoridae,Reptil
130,"-23,018,414","-43,445,164",Alligatoridae,Reptil
131,"-23,024,019","-4,347,075",Alligatoridae,Reptil
132,"-23,018,414","-43,445,164",Alligatoridae,Reptil
133,"-23,024,019","-4,347,075",Alligatoridae,Reptil
134,"-23,024,019","-4,347,075",Alligatoridae,Reptil
135,"-22,538,006","-42,943,153",Alligatoridae,Reptil
136,"-23,016,153","-43,426,208",Alligatoridae,Reptil
137,"-2,253,722","-4,298,194",Alligatoridae,Reptil
138,"-23,024,019","-4,347,075",Alligatoridae,Reptil
139,"-23,016,153","-43,426,208",Alligatoridae,Reptil
140,"-23,024,019","-4,347,075",Alligatoridae,Reptil
141,"-23,024,019","-4,347,075",Alligatoridae,Reptil
142,"-23,018,414","-43,445,164",Alligatoridae,Reptil
143,"-23,024,019","-4,347,075",Alligatoridae,Reptil
144,"-23,024,019","-4,347,075",Alligatoridae,Reptil
145,"-23,024,019","-4,347,075",Alligatoridae,Reptil
146,"-23,018,414","-43,445,164",Alligatoridae,Reptil
147,"-23,024,019","-4,347,075",Alligatoridae,Reptil
148,"-23,024,019","-4,347,075",Alligatoridae,Reptil
149,"-23,016,153","-43,426,206",Alligatoridae,Reptil
150,"-23,024,019",-43.47.075,Alligatoridae,Reptil
151,"-2,290,278","-432,075",Alligatoridae,Reptil
152,"-22,538,006","-42,943,153",Alligatoridae,Reptil
153,"-23,018,414","-43,445,164",Alligatoridae,Reptil
154,"-23,018,414","-43,445,164",Alligatoridae,Reptil
155,-22.78.556,"-4,331,167",Alligatoridae,Reptil
156,"-23,018,414","-43,445,164",Alligatoridae,Reptil
157,"-23,016,153","-43,426,208",Alligatoridae,Reptil
158,"-23,016,153","-43,426,208",Alligatoridae,Reptil
159,"-23,018,414","-43,445,164",Alligatoridae,Reptil
160,"-22,538,006","-42,943,153",Alligatoridae,Reptil
161,"-23,016,153","-43,426,208",Alligatoridae,Reptil
162,"-23,016,153","-43,426,208",Alligatoridae,Reptil
163,"-23,016,153","-43,426,208",Alligatoridae,Reptil
164,-22.9,-43.23.333,Alligatoridae,Reptil
165,"-23,016,153","-43,426,208",Alligatoridae,Reptil
166,"-23,016,153","-43,426,208",Alligatoridae,Reptil
167,"-23,018,414","-43,445,164",Alligatoridae,Reptil
168,-22.90.278,"-432,075",Alligatoridae,Reptil
169,"-23,024,019",-43.47.075,Alligatoridae,Reptil
170,-22.9,-43.23.333,Alligatoridae,Reptil
171,"-23,018,414","-43,445,164",Alligatoridae,Reptil
